Station_Name,Latitude,Longitude,State,Town,Power_kW
Ather Grid Charging Station,20.315431999999998,85.82054,Odisha,,1.100000023841858
Adani Charging Station,20.3570179,85.88882029999999,Odisha,,60.0
Ather Grid Charging Station,20.256187,85.78683749999999,Odisha,,1.100000023841858
Ather Grid Charging Station,20.2614172,85.84389929999999,Odisha,,1.100000023841858
Tata Power Charging Station,20.299550099999998,85.8309735,Odisha,,30.0
Statiq Charging Station,20.2914763,85.8560122,Odisha,,60.0
Ather Grid Charging Station,20.2669537,85.8694239,Odisha,,1.100000023841858
Ather Charging Station,20.2640837,85.8457679,Odisha,,1.100000023841858
Statiq Charging Station,20.245772,85.78304299999999,Odisha,,22.0
Tata Power Charging Station,20.259014,85.8397059,Odisha,,30.0
Ather Grid Charging Station,20.2710386,85.7838293,Odisha,,1.1
Ather Grid Charging Station,20.2986351,85.8227086,Odisha,,1.100000023841858
Adani Charging Station,20.2529878,85.81877899999999,Odisha,,60.0
Ather Charging Station,20.2476107,85.8409846,Odisha,,1.1
Ather Grid Charging Station,20.283109,85.80601109999999,Odisha,,1.100000023841858
BPCL Charging Station,20.25473,85.787241,Odisha,,30.0
Tata Power Charging Station,20.2269974,85.841081,Odisha,,25.0
Ola Electric Mobility Charging Station,20.2573761,85.84097299999999,Odisha,,1.5
DiodeEV Charging Station,20.227714799999998,85.73563039999999,Odisha,,0.0
Statiq Charging Station,20.205643,85.644066,Odisha,,60.0
Tata Power Charging Station,20.241180099999998,85.75915549999999,Odisha,,25.0
Tata Power Charging Station,20.238165,85.75664300000001,Odisha,,25.0
Kazam Charging Station,20.2555141,85.6866637,Odisha,,7.4
Thunder Plus Charging Station,20.242777999999998,85.75611699999999,Odisha,,15.0
Kazam Charging Station,20.253022299999998,85.6869698,Odisha,,3.299999952316284
Kazam Charging Station,20.254699199999997,85.6867814,Odisha,,3.299999952316284
Tata Power Charging Station,20.230607799999998,85.7376707,Odisha,,60.0
Tata Power Charging Station,20.2407436,85.7590281,Odisha,,7.4
Electric Vehicle Charging Station,20.223618,85.726762,Odisha,,30.0
Electric Vehicle Charging Station,20.1939131,85.65214879999999,Odisha,,0.0
Ather Grid Charging Station,20.178873,85.61153,Odisha,,1.100000023841858
Hindustan Petroleum Corporation Limited,20.154535799999998,85.0637881,Odisha,,0.0
Jio-bp,20.141301,83.968362,Odisha,,7.4
